rating,director,release_year,listed_in,title,country,duration,type,Cluster
11,3066,0.7058823529411765,441,5317,52,156,0,2
6,1443,1.0,256,7135,80,185,1,3
8,3066,0.7058823529411765,469,3714,52,180,0,2
8,3066,0.7058823529411765,469,4413,52,184,0,2
8,3066,0.7058823529411765,469,5684,52,179,0,2
8,3066,0.7058823529411765,469,6881,52,178,0,2
8,3066,0.7058823529411765,469,8040,52,178,0,2
6,3066,0.7058823529411765,290,1446,52,0,1,1
10,3066,0.47058823529411775,421,4457,52,0,1,1
9,3066,0.5882352941176472,421,8407,52,0,1,1
9,3066,0.8823529411764707,375,2286,52,0,1,1
5,1778,1.0,57,7837,51,23,0,0
6,3816,0.9411764705882354,280,3282,51,19,0,0
8,968,1.0,25,7366,51,17,0,0
6,4021,1.0,229,5805,51,5,0,0
8,2209,1.0,52,5953,51,47,0,0
6,2374,1.0,199,4592,29,41,0,0
8,2593,1.0,216,799,44,217,0,2
8,3408,0.47058823529411775,52,1926,29,53,0,0
8,2279,1.0,352,3809,68,214,0,2
6,3066,0.823529411764706,411,137,52,0,1,1
8,4489,0.8823529411764707,331,7549,20,22,0,0
6,3066,0.7058823529411765,392,8776,52,0,1,1
5,3345,0.47058823529411775,36,2009,80,78,0,0
3,821,1.0,149,230,1,211,0,2
8,3066,0.7058823529411765,392,870,52,110,1,3
8,3066,0.6470588235294118,393,895,52,0,1,1
7,3066,0.0,511,1120,52,0,1,1
9,3066,0.7058823529411765,445,1161,52,0,1,1
6,3066,0.6470588235294118,384,1229,52,0,1,1
9,3066,0.5294117647058825,411,1247,52,0,1,1
9,3066,0.7647058823529412,421,1263,52,0,1,1
8,3066,0.6470588235294118,392,1373,52,0,1,1
8,3066,0.7647058823529412,392,1599,52,196,1,3
8,3066,0.6470588235294118,393,1597,52,208,1,3
8,3066,0.7058823529411765,393,1598,52,185,1,3
8,3066,0.7058823529411765,393,1600,52,0,1,1
8,3066,0.7058823529411765,392,1601,52,0,1,1
8,3066,0.7058823529411765,393,1602,52,0,1,1
8,3066,0.7647058823529412,114,2006,52,0,1,1
6,964,1.0,512,3153,51,204,0,2
8,3630,1.0,471,5479,51,0,1,1
8,2939,1.0,318,345,51,217,0,2
8,3268,1.0,46,1093,51,30,0,0
11,3392,0.5294117647058825,120,1461,29,179,0,2
